UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15,Similar School 16,Similar School 17,Similar School 18,Similar School 19,Similar School 20,Similar School 21,Similar School 22,Similar School 23,Similar School 24,Similar School 25,Similar School 26,Similar School 27,Similar School 28,Similar School 29,Similar School 30
110662,110680,215293,181464,110635,110705,110644,110653,228778,123961,163286,110714,196088,174066,204796,139959,153658,199193,218663,207500,178396,221759,153603,106397,157085,110671,234076,199120,170976,236948,134130
110671,157085,110680,215293,110662,181464,199193,110644,110714,110653,110705,110635,207500,151351,228778,236948,225511,145600,104179,163286,139959,214777,196088,137351,153658,23693901,23693902,23693903,236939,174066,130943
110680,110662,215293,181464,110644,110653,110635,110705,228778,110714,163286,123961,196088,174066,139959,204796,153658,207500,199193,218663,178396,110671,221759,153603,106397,157085,234076,236948,199120,170976,186380
110699,229300,228909,228635,223223,163259,209490,159373,228644,196255,181428,190424,416801,139755,112525,218335,106263,228653,215123,229337,215062,435000,207315,162928,131496,223214,190150,148511,12293101,131469,193900
110705,207500,110680,110644,110662,110714,110653,110635,163286,196088,139959,153658,215293,243780,218663,178396,221759,181464,145813,106397,153603,199120,134130,234076,228778,196079,170976,186380,240444,135726,134097
110714,153658,106397,153603,110705,110644,110680,110653,186380,110662,196088,214777,207500,163286,110635,199120,171100,215293,233921,139959,218663,178396,234076,181464,221759,155317,151351,145637,240268,228778,134130
110778,143978,240213,455664,459745,11508306,11508305,11508303,209296,166717,169220,110307,243823,369659,167181,174507,219639,156727,170806,426314,170675,179450,420246,147129,142832,455433,384306,218751,454838,374024,446039
110918,444778,247825,172033,440794,457226,110060,457697,167677,135364,127714,388520,204990,246345,215628,447953,210368,439613,458113,193894,160029,23384201,21036801,21036802,15483701,443340,173896,260947,157298,127273,38561901
111081,213385,213996,218070,216287,228343,164933,197133,146481,136950,237066,204909,168281,216524,121257,212911,198385,167996,192749,165936,211273,149781,166018,112260,121345,152390,216667,164465,179955,164580,168218
111188,161299,235769,217864,214689,166692,182661,214670,215284,219000,197027,198695,158477,243212,160658,161572,152822,220978,210331,180595,177339,239071,198969,204671,200800,146339,155414,240444,455770,435000,106263
